Course Name,Course URI
Embryology 1919,http://history.archives.mbl.edu/concepts/course/5931b4c7-a153-40cc-a593-f774f25cf609
Embryology 1918,http://history.archives.mbl.edu/concepts/course/f5855fda-e669-45e8-8110-868db3ab40f5
Zoology 1952,http://history.archives.mbl.edu/concepts/course/98074ce8-d212-4d36-8e52-ac28a4ab26b5
Zoology 1953,http://history.archives.mbl.edu/concepts/course/6912010f-057a-4098-9264-1faeebe37c81
Zoology 1954,http://history.archives.mbl.edu/concepts/course/6c407d7b-4a13-499c-9550-6bd157d1246f
Zoology 1955,http://history.archives.mbl.edu/concepts/course/5c7e4108-f6ea-4f9c-8706-9fb74900d5ea
Zoology 1956,http://history.archives.mbl.edu/concepts/course/ba1c9453-ee6b-4b23-8822-dd0b0d978c58
Zoology 1951,http://history.archives.mbl.edu/concepts/course/ecc62be5-b5f6-46cb-9eb2-745e2a3d8fd4
Embryology 1911,http://history.archives.mbl.edu/concepts/course/584af228-65fa-4a6b-b8ac-d6030782ac65
Embryology 1910,http://history.archives.mbl.edu/concepts/course/09881bd6-795c-4929-b6b6-45c8b6aa82ee
Embryology 1913,http://history.archives.mbl.edu/concepts/course/2a0f327d-fdd2-431c-a8df-d9e087af4652
Embryology 1912,http://history.archives.mbl.edu/concepts/course/ec040e67-ab5c-41c9-ace6-809c68b2c86c
Embryology 1915,http://history.archives.mbl.edu/concepts/course/d67a3d22-4259-46e9-80d1-9d128d2f50d1
Embryology 1914,http://history.archives.mbl.edu/concepts/course/917a918c-51a0-4b70-b082-9dc10a188543
Embryology 1917,http://history.archives.mbl.edu/concepts/course/6a2338b3-4a04-4946-94af-4daf8329cbcf
Embryology 1916,http://history.archives.mbl.edu/concepts/course/0717bb7c-9976-43aa-bccc-5cc7a9ea9776
Biology Of Parasitism 2010,http://history.archives.mbl.edu/concepts/course/6cb42714-35a2-480e-9015-3048c7cafcb1
