Course Group,Course Group URI
Botanical Museum Development,http://history.archives.mbl.edu/concepts/coursegroup/c8b9ef81-440e-44d3-aee5-4b5bc7f2f6f4
Research Program In History Of Biology,http://history.archives.mbl.edu/concepts/coursegroup/1eb18fd9-5631-4305-984e-625c95aed93b
Small Computers In Biomedical Research,http://history.archives.mbl.edu/concepts/coursegroup/5bba5477-fb5f-438e-86b8-d5c7d552b322
Biomedical Informatics 2,http://history.archives.mbl.edu/concepts/coursegroup/2b783acf-2ffa-4a25-8c25-680b2b989920
Microbiology,http://history.archives.mbl.edu/concepts/coursegroup/11cf3134-4099-41a3-b17d-5ec4976ac1ae
Zebrafish Development And Genetics,http://history.archives.mbl.edu/concepts/coursegroup/dae7aad0-f931-41d9-8c5b-1545ffdc5b04
Science Journalism Program,http://history.archives.mbl.edu/concepts/coursegroup/2e0964c1-eea3-4733-86ec-7dfa15202537
Rapid Measurement Of Neurotransmitter Signals In The Central Nervous System Using In Vivo Electrochemistry,http://history.archives.mbl.edu/concepts/coursegroup/b0aa2887-a1b0-4061-b9c0-46ede7fe5abe
Experimental Invertebrate Zoology,http://history.archives.mbl.edu/concepts/coursegroup/76477024-b8ec-42ee-9890-758c01446c35
Autoradiography In Electron Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/30f84a80-710d-4013-af31-7e1b8df707a9
Microinjection Techniques,http://history.archives.mbl.edu/concepts/coursegroup/dce76e09-5126-4272-847e-36080076698a
Invertebrate,http://history.archives.mbl.edu/concepts/coursegroup/738e66f2-ae56-4cce-b053-76c86b28236a
Scanning Electron Microscopy In The Biological Sciences,http://history.archives.mbl.edu/concepts/coursegroup/e08d750b-1e37-4fa0-8e60-b41b1549670d
Neurobiology & Development Of The Leech,http://history.archives.mbl.edu/concepts/coursegroup/c6b7eb6a-e8ee-4689-bc05-d2c60cbc99b8
Analytical & Quantitative Light Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/17a19e73-591d-46b8-9ffb-01f9ba417055
Experimental Botany,http://history.archives.mbl.edu/concepts/coursegroup/aae15c76-fb63-4782-a837-a28036c0ebe3
Medical Informatics,http://history.archives.mbl.edu/concepts/coursegroup/86c80142-331c-47c0-8aea-f2d083e96edc
Excitable Membrane Physiology And Biophysics Training Program,http://history.archives.mbl.edu/concepts/coursegroup/e0eb25b3-7676-4af6-a192-2a4a4ed5ca94
Developmental Biology,http://history.archives.mbl.edu/concepts/coursegroup/6dd58830-a88d-4a4d-ba07-cebafa6230e6
Workshop On Plant And Animal Cell Microinjection Techniques,http://history.archives.mbl.edu/concepts/coursegroup/41589421-08a2-422e-9e14-cf469ee89296
The Ecosystems Center,http://history.archives.mbl.edu/concepts/coursegroup/9347c96f-690d-44b9-b958-201ae6d6a59c
Cellular Neurobiology And Development Of The Leech,http://history.archives.mbl.edu/concepts/coursegroup/7a1baaf6-53f0-4dd3-890b-3a70514507c5
Immunohistochemistry And Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/5b9798e8-e9b4-476a-8cd0-7a4eafd719dc
Frontiers In Reproduction,http://history.archives.mbl.edu/concepts/coursegroup/6956d230-5b71-41ed-abf4-1a9e5d6046dc
Ecology,http://history.archives.mbl.edu/concepts/coursegroup/d34dbda6-16e8-4f2b-947b-63a4cb15679e
Nasa Planetary Biology Internship,http://history.archives.mbl.edu/concepts/coursegroup/f2c1bd3a-79d9-4beb-8fb7-4a4e9fd4f080
"Summer Program In Neuroscience, Ethics And Survival",http://history.archives.mbl.edu/concepts/coursegroup/63ac308e-fb0e-4810-bbd0-56475cadd8ca
Living In The Microbial World,http://history.archives.mbl.edu/concepts/coursegroup/d6b134cc-76c7-4892-a900-95170716ef32
Workshop On Recombinant Dna Methodology,http://history.archives.mbl.edu/concepts/coursegroup/21a5df06-6320-427b-af76-7dad159ad36a
Teaching About Neurobiology Of Brain Dysfunction,http://history.archives.mbl.edu/concepts/coursegroup/d2e1887e-107a-405f-ba4f-ad44e6b79573
Basic Immunocytochemical Techniques In Tissue Sections And Whole Mounts,http://history.archives.mbl.edu/concepts/coursegroup/70e681e1-b092-4d50-a443-059d584dacc1
Mariculture,http://history.archives.mbl.edu/concepts/coursegroup/c2a4f724-3281-4d58-9487-e7152b4158d6
Microbial Ecology,http://history.archives.mbl.edu/concepts/coursegroup/6f2e9ef4-d00e-418f-bc24-d23bfa8f89d2
Neural Development & Genetics Of Zebrafish,http://history.archives.mbl.edu/concepts/coursegroup/3bd9acdb-fb3a-4863-8fff-90b4e643507c
Basic Immunohistochemical Techniques In Tissue Sections And Whole Mounts,http://history.archives.mbl.edu/concepts/coursegroup/d4969fc9-1fd3-458a-b0d8-7f0a433796e2
Comparative Light And Electron Microscopy In Clinical Diagnosis,http://history.archives.mbl.edu/concepts/coursegroup/08a2d0d8-3f4b-4abc-8c18-f3d226cc2c96
Protozoology,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b
Biological Physiology,http://history.archives.mbl.edu/concepts/coursegroup/b96a4711-c3e5-449f-ba25-193175e9e609
Marine Botany,http://history.archives.mbl.edu/concepts/coursegroup/b2abe035-94f4-4de6-abba-793b00d320d0
"Summer Program In Neuroscience, Ethics, And Survival",http://history.archives.mbl.edu/concepts/coursegroup/e234c4fc-8cc1-43f6-8aa3-b63374ac31f1
Frontiers In Stem Cells And Regeneration,http://history.archives.mbl.edu/concepts/coursegroup/d1a4fa99-11b5-49f9-96a5-ffca0018855e
Three Integrated Short Courses In Quantitative Image And Signal Analysis For Biologists,http://history.archives.mbl.edu/concepts/coursegroup/ffde32c4-f4cc-4d8d-bbf9-944a4266b3ea
Molecular Evolution,http://history.archives.mbl.edu/concepts/coursegroup/de463f97-3a83-48b3-a629-5e65bd68f27f
Strategies And Techniques For Analyzing Microbial Population Structures,http://history.archives.mbl.edu/concepts/coursegroup/38e68e51-e81f-48ef-a4a3-32d3bc8f3c9b
Optimal Microscopy And Photomicrography In The Biomedical Sciences,http://history.archives.mbl.edu/concepts/coursegroup/208b4e62-4210-40a5-adf5-447ddee36242
Invertebrate Zoology,http://history.archives.mbl.edu/concepts/coursegroup/0596aa46-c818-4181-8032-fa9ce3ceb7d1
Fundamental Issues In Vision Research,http://history.archives.mbl.edu/concepts/coursegroup/bd9b8e69-7eb4-45da-851d-f1bfac7b963b
Protein Analysis By Polyacrylamide Gel Electrophoresis,http://history.archives.mbl.edu/concepts/coursegroup/24b5f3b9-c6c1-41d9-9328-29f3fb3bf312
Coelenterates,http://history.archives.mbl.edu/concepts/coursegroup/7282d309-cdfe-4ff4-a79c-1246ecc029a0
Neurobiology And Development Of The Leech,http://history.archives.mbl.edu/concepts/coursegroup/5802221a-ef0c-4848-b842-65cbe6f9d20e
Biosphere,http://history.archives.mbl.edu/concepts/coursegroup/62c5a4d4-3b76-42dd-8332-3ae9b819ddf3
Computational Neuroscience Workshop,http://history.archives.mbl.edu/concepts/coursegroup/f3ffaf5a-ff62-41fc-889e-04ca5a3949c7
Year-In-Science,http://history.archives.mbl.edu/concepts/coursegroup/b9088886-79cf-4c37-ab0c-59aeb4a56134
Workshop On Molecular Evolution,http://history.archives.mbl.edu/concepts/coursegroup/4b12fc58-3ea7-4242-bdd3-58fa6c8bb6df
Experimental Marine Botany,http://history.archives.mbl.edu/concepts/coursegroup/09acbce8-9f0f-4f79-afbf-40fce980f6ba
Behavior,http://history.archives.mbl.edu/concepts/coursegroup/a59089e2-0a5a-4b3f-a1af-692b4f2f74c9
Neurophysiology Training Program,http://history.archives.mbl.edu/concepts/coursegroup/563bc332-4bd8-41ae-ae7c-f7d4cee1383d
Systematics-Ecology Program,http://history.archives.mbl.edu/concepts/coursegroup/ebca22a1-3249-4acb-89d3-17272f1a69e0
Neural Systems & Behavior,http://history.archives.mbl.edu/concepts/coursegroup/748261f2-5ba0-45fd-b74f-e5dacb0eeaf5
Optical Microscopy & Imaging In The Biomedical Sciences,http://history.archives.mbl.edu/concepts/coursegroup/c191cbd7-3559-4694-b45e-ed5e443e6576
Marine Models In Biological Research Undergraduate Program,http://history.archives.mbl.edu/concepts/coursegroup/ceee238b-e142-406e-8c4c-2e3418f038ca
Freeze-Etching In Electron Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/4e64b89c-5ee1-4cc3-9843-2dbd91e929ce
Zoology,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980
Rapid Electrochemical Measurements In Biological Systems,http://history.archives.mbl.edu/concepts/coursegroup/bc93870a-cdd5-4e38-85f7-c5a5fec2d79c
Molecular And Cellular Immunology,http://history.archives.mbl.edu/concepts/coursegroup/a65ed82a-bd7a-43ba-8b73-25cf0b182e83
Liquid Scintillation Counting In Biology And Medicine,http://history.archives.mbl.edu/concepts/coursegroup/fa63953d-ddd8-430b-8ca9-1d5f6377de88
Small Computers In Biology And Medicine,http://history.archives.mbl.edu/concepts/coursegroup/c6788e66-7544-4145-894b-0498044dfb46
Measurement And Control Of Chemical Stimuli,http://history.archives.mbl.edu/concepts/coursegroup/085eb81c-1ebc-48e7-994c-d7500abd296f
Training Program In Microbial Ecology,http://history.archives.mbl.edu/concepts/coursegroup/a47e3f2d-40f3-41fb-8cd5-cb4cf7cac89f
Semester In Environmental Science,http://history.archives.mbl.edu/concepts/coursegroup/a53d011e-5bed-4d7c-bebe-af0d4f2b9fbf
Research Program In Experimental Marine Biology,http://history.archives.mbl.edu/concepts/coursegroup/fe6deca6-c7b7-430a-a3f7-224211873f69
History Of Biology,http://history.archives.mbl.edu/concepts/coursegroup/2d131d3b-8c6d-4d7c-b505-57c45d5ccc12
Basic Ecology And Management Of Resources,http://history.archives.mbl.edu/concepts/coursegroup/cf522c8d-6d01-4865-89a6-d1b35852350d
Comparative Physiology Research Training Program,http://history.archives.mbl.edu/concepts/coursegroup/ed86eb87-2a03-4b0e-9f4a-d18dbd14a1b6
