Institution,Institution URI
St Luc Hospital,http://history.archives.mbl.edu/concepts/institution/b3baefbf-8e01-4bc5-813f-0136509dfbf5
New England Institute For Medical Research,http://history.archives.mbl.edu/concepts/institution/259ac78d-d515-4fbd-925e-179ed94d62c5
Station Biologique,http://history.archives.mbl.edu/concepts/institution/d26e9674-9ca7-4e15-8a4f-7889f5a13f7e
Albany College Of Pharmacy,http://history.archives.mbl.edu/concepts/institution/05492bde-bb37-4e93-a141-c6eee83db100
New York College Of Medicine And Believue Hospital,http://history.archives.mbl.edu/concepts/institution/49aaac99-4cab-4814-b40b-c3712ad66eea
College Misericordia,http://history.archives.mbl.edu/concepts/institution/f7f10bd5-14d1-4748-8653-e6ba12b8b197
Ledyard Middle School,http://history.archives.mbl.edu/concepts/institution/96a87104-959e-4519-b5c6-e7a828d7f90f
College Of Nj,http://history.archives.mbl.edu/concepts/institution/e2298f25-5253-4660-b674-9690be52fef4
National Institute Of Neurological And Communicative Disorders And Strokes,http://history.archives.mbl.edu/concepts/institution/4d8227bb-7f79-4253-bd55-3ebc31e67f2a
Ames Laboratories Moffet Field,http://history.archives.mbl.edu/concepts/institution/808f3c3d-6b62-4c4a-8cc9-470fe665b67e
University Of Texas Health Science Center,http://history.archives.mbl.edu/concepts/institution/29da17ff-171e-4bc5-af73-05b9e4f2eacd
Universitat Osnabruck,http://history.archives.mbl.edu/concepts/institution/961c037d-53c2-4047-9416-3efae484405f
Agricultural College Of Morioka,http://history.archives.mbl.edu/concepts/institution/9af2d58e-abbe-4fb5-8f68-2e2a192a0a1f
University Of California School Of Biological Sciences,http://history.archives.mbl.edu/concepts/institution/29e67c04-e4d9-4d82-be7a-02a61cbacb3b
Universite Montpellier 2,http://history.archives.mbl.edu/concepts/institution/ff358fbc-3ae6-4fc8-a2f5-5c27de1562b8
Universitat Tubingen,http://history.archives.mbl.edu/concepts/institution/354a562b-9340-47a8-b8cc-600ca3a5e5d7
Hyde Park High School,http://history.archives.mbl.edu/concepts/institution/b9951007-6d22-48d8-a379-d0731e8fb1ce
