Location,Location URI
,http://history.archives.mbl.edu/concepts/location/e878a179-bc50-4168-b518-df11011d45be
"bogota, columbia",http://history.archives.mbl.edu/concepts/location/b8f255a4-03dd-445a-8760-9e0f16c48d94
state university of new york,http://history.archives.mbl.edu/concepts/location/2af7e88b-0c71-4292-b0ae-6524884831a9
chile,http://history.archives.mbl.edu/concepts/location/f52bc9e8-f38d-44c6-b424-b7498e8bbe5d
"rome, italy",http://history.archives.mbl.edu/concepts/location/6913fc49-a9c5-4882-85fa-cdffadef4d9c
school of medicine,http://history.archives.mbl.edu/concepts/location/15d396cc-4823-4d00-867f-7b0c1de9e7bd
"oxford, oh",http://history.archives.mbl.edu/concepts/location/f0d4324b-cbcf-435a-bcae-8213f38f35ec
cyprus,http://history.archives.mbl.edu/concepts/location/e1e1e6df-09c1-47f3-8b45-ff25b42e04f8
"innsbruck, austria",http://history.archives.mbl.edu/concepts/location/ef9d23a8-cc7f-4ec5-9463-7c7f9ab7a2e9
"13 west 21st street, new york, ny",http://history.archives.mbl.edu/concepts/location/0c186f96-5610-414c-a0de-5d1b112c8483
lehman college,http://history.archives.mbl.edu/concepts/location/87933d2e-3d1f-4c8d-9144-a944b97b35e0
paris,http://history.archives.mbl.edu/concepts/location/39fbd3f5-cd8e-48aa-b65a-0cb96af1e39f
west africa,http://history.archives.mbl.edu/concepts/location/8cb73497-5400-4324-b80c-5461e9dfeb9e
"e. brownfield, me",http://history.archives.mbl.edu/concepts/location/4d9e9195-b111-47a8-9651-dde1b7d73f51
"meadville, pa",http://history.archives.mbl.edu/concepts/location/4e864aa4-8472-48de-b512-1c565f0ec4aa
"chicago, il",http://history.archives.mbl.edu/concepts/location/181d18c7-2078-406a-a281-445608e48f22
"manhattan, ks",http://history.archives.mbl.edu/concepts/location/3da9f83a-8af8-4e51-9e68-d9a19d3a9ea4
"thornwood, ny",http://history.archives.mbl.edu/concepts/location/2c18dc01-ff18-4a18-812b-139fe7b82f94
"brookline, ma",http://history.archives.mbl.edu/concepts/location/6adc31fa-e396-4f4a-8e2f-ff53184eef23
"new orleans, la",http://history.archives.mbl.edu/concepts/location/fb2bafd2-a1a2-4491-b894-536d6b529320
"1901 bedford ave., brooklyn, ny",http://history.archives.mbl.edu/concepts/location/e75908dd-309a-4ec5-8099-f88383f85f28
"saco, me",http://history.archives.mbl.edu/concepts/location/cca0b1f7-2a2c-42cd-8a9c-4810aec9020d
"oxford, o.",http://history.archives.mbl.edu/concepts/location/5c5f7854-9966-4c7e-b74f-bd2a27860254
"whitestone, ny",http://history.archives.mbl.edu/concepts/location/3842a45d-ffbe-4f42-a383-fe41b9c2c6a0
"riverside, connecticut",http://history.archives.mbl.edu/concepts/location/eabd3441-21bb-4eb6-9871-e6211085acf4
"49 crescent street, montreal, canada",http://history.archives.mbl.edu/concepts/location/f1fd05f7-5e16-46d9-a139-eda507115410
"721 ingalls street, ann arbor, mi",http://history.archives.mbl.edu/concepts/location/335fe73c-0649-41b5-abd9-0a044f2de74b
"manchester, england",http://history.archives.mbl.edu/concepts/location/2bb5cf85-6be9-4dda-9463-1f0b674e314a
jamaica,http://history.archives.mbl.edu/concepts/location/758ed1cf-b711-421f-937b-4982685d59b5
"grand rapids, mi",http://history.archives.mbl.edu/concepts/location/1dc9b367-a8c0-4ee2-bb23-0babfabf07d3
"mangolia, ma",http://history.archives.mbl.edu/concepts/location/5b0e8721-c9bb-4c58-a3ee-01578fde3be2
"london, n.w.7",http://history.archives.mbl.edu/concepts/location/aff32da2-c919-4f86-8c68-fd38a2b6ab89
"53 garden street, cambridge, ma",http://history.archives.mbl.edu/concepts/location/0ebd91c3-0cfb-4318-8f18-0b667cf56526
"le sorbonne, france",http://history.archives.mbl.edu/concepts/location/e4608a74-9fd8-4611-a6cd-6e2adb49fcbc
san francisco (ucsf),http://history.archives.mbl.edu/concepts/location/b19fa5d9-5065-458b-9636-5d7264e1a439
"glyndon, md",http://history.archives.mbl.edu/concepts/location/e94f67f7-b06b-44b6-8a8e-23a2216f712f
the cancer institute at miami,http://history.archives.mbl.edu/concepts/location/f6dd6b0c-24da-4845-b55a-5d229943dbef
panama,http://history.archives.mbl.edu/concepts/location/5387d507-b86c-488e-bd3a-1cb264939f8d
rutgers,http://history.archives.mbl.edu/concepts/location/7f5a028e-03f9-45d9-8d22-765092c9ef12
"marquette, mi",http://history.archives.mbl.edu/concepts/location/ceedd7ec-77af-4223-bfe4-3cd9a26ba7a0
"topeka, ks",http://history.archives.mbl.edu/concepts/location/95da7498-4468-43a9-8f83-a2d3a8894540
"727 genesee ave, cleveland, oh",http://history.archives.mbl.edu/concepts/location/8990acd7-a797-489c-80ba-fccb2ba99501
"rio piedras, puerto rico",http://history.archives.mbl.edu/concepts/location/5b306d2f-8064-4941-9ff4-429907aaee9c
"yonker, ny",http://history.archives.mbl.edu/concepts/location/2edde36b-3270-4133-93f2-d91ded92663a
"williamantic, ct",http://history.archives.mbl.edu/concepts/location/9ebbd54c-f280-41ba-94b4-82eb7b364b09
"lansdale, pa",http://history.archives.mbl.edu/concepts/location/1d521c67-59ef-4ac2-8480-1b89baade37b
china,http://history.archives.mbl.edu/concepts/location/e1cf5426-09ec-4435-ac83-ab5c8f824825
berlin.,http://history.archives.mbl.edu/concepts/location/07a51218-3779-4b3a-a837-5ed6c1f929a2
schnectady,http://history.archives.mbl.edu/concepts/location/d241c150-0de4-4b8b-b387-c37d51447811
mayaguez,http://history.archives.mbl.edu/concepts/location/c3607aac-e17b-46f0-82b8-825da0fb724e
"ames, ia",http://history.archives.mbl.edu/concepts/location/7833e797-c2a8-42b2-aa18-343c99c51a11
"vassalboro, me",http://history.archives.mbl.edu/concepts/location/2f1764c8-03ef-40e9-9468-05b490327b21
"elizabth, nj",http://history.archives.mbl.edu/concepts/location/21b50c49-44d0-4170-9938-75c38eebbfe0
"nela park, cleveland, oh",http://history.archives.mbl.edu/concepts/location/dc32e0c5-5b3d-46c5-8120-df7983971242
"kearsage village, nh",http://history.archives.mbl.edu/concepts/location/e9fecb0d-f08f-439a-9123-1d1bd07c431b
peoples' republic of china,http://history.archives.mbl.edu/concepts/location/f041651f-41d2-4fa6-8253-c6737c0a76c5
whitewater,http://history.archives.mbl.edu/concepts/location/197bd5aa-a3d1-452b-9344-ee50b90de108
