Year,Course URI,Course Group URI,Course Group,Course Name
1896,http://history.archives.mbl.edu/concepts/course/7e4726f1-1952-4f14-8d7b-fc03cfa2adf5,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1896
1896,http://history.archives.mbl.edu/concepts/course/622ba770-c3dd-45a8-840a-bb9787742d28,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1896
1896,http://history.archives.mbl.edu/concepts/course/e0ce5e48-fcb9-4d70-85a2-d421cbdcd785,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1896
1895,http://history.archives.mbl.edu/concepts/course/0687aed5-27b9-4520-9fd3-4957f7ee4e13,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1895
1895,http://history.archives.mbl.edu/concepts/course/30cfaa6f-3750-4c54-99fd-0cfc22524af5,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1895
1895,http://history.archives.mbl.edu/concepts/course/189e3b9a-d170-4b96-979a-0f70ccbd0db5,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1895
1895,http://history.archives.mbl.edu/concepts/course/46e846ce-0547-41c4-b63c-f55281fa7703,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1895
1894,http://history.archives.mbl.edu/concepts/course/d0d17e22-2f74-4556-8e78-dea8ba8ae9f3,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1894
1894,http://history.archives.mbl.edu/concepts/course/78db0926-8e18-4a62-8748-3d7d289788b3,http://history.archives.mbl.edu/concepts/coursegroup/c8b9ef81-440e-44d3-aee5-4b5bc7f2f6f4,Botanical Museum Development,Botanical Museum Development 1894
1894,http://history.archives.mbl.edu/concepts/course/7adb2ea2-2146-4408-b1cf-053df14b40d7,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1894
1894,http://history.archives.mbl.edu/concepts/course/7489c08e-f121-4238-926e-4637be49d085,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1894
1894,http://history.archives.mbl.edu/concepts/course/fe2782c8-f8d0-49c8-942b-31c9601b418d,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1894
1893,http://history.archives.mbl.edu/concepts/course/43c872cb-79e8-4bfd-acf5-e40185dcdd8f,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1893
1893,http://history.archives.mbl.edu/concepts/course/a62b51ad-3fd8-498d-89f7-1a4dec47b82f,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1893
1893,http://history.archives.mbl.edu/concepts/course/824a3071-f96e-4e8a-978a-5fa909fa982b,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1893
1893,http://history.archives.mbl.edu/concepts/course/00b2ccbf-a791-4ee4-955f-4f80b02f0552,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1893
1892,http://history.archives.mbl.edu/concepts/course/e690554c-fb05-40d5-aef2-5acb5d353370,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1892
1892,http://history.archives.mbl.edu/concepts/course/96a15ea4-fa67-431e-b8fe-55be1a9714a8,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1892
1892,http://history.archives.mbl.edu/concepts/course/4f9b121f-dc11-4773-ac24-2f60d01fac79,http://history.archives.mbl.edu/concepts/coursegroup/b96a4711-c3e5-449f-ba25-193175e9e609,Biological Physiology,Biological Physiology 1892
1892,http://history.archives.mbl.edu/concepts/course/a264f507-bd6e-46eb-9ab7-0834bb21802a,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1892
1891,http://history.archives.mbl.edu/concepts/course/4a3a7e0d-0045-4881-a9af-7983f754ccac,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1891
1891,http://history.archives.mbl.edu/concepts/course/73817b5f-2434-40e2-976e-091bc481e972,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1891
1890,http://history.archives.mbl.edu/concepts/course/eb94196b-98f1-4bf3-952c-4d8b4b9c291a,http://history.archives.mbl.edu/concepts/coursegroup/7282d309-cdfe-4ff4-a79c-1246ecc029a0,Coelenterates,Coelenterates 1890
1935,http://history.archives.mbl.edu/concepts/course/eb94196b-98f1-4bf3-952c-4d8b4b9c291a,http://history.archives.mbl.edu/concepts/coursegroup/7282d309-cdfe-4ff4-a79c-1246ecc029a0,,
1935,http://history.archives.mbl.edu/concepts/course/75892cd2-56bf-4022-ba8a-bd1e32198041,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1935
