Last Name,Person URI,First Name,Role,Year,Subject
Gardiner,http://history.archives.mbl.edu/concepts/person/eb8d07c9-3122-484d-b5ac-fda0ab34176a,Edward G,,1888,
Jordan,http://history.archives.mbl.edu/concepts/person/c6037f04-fed1-45ec-9c12-554760a292ad,Edwin O,,1888,
Washburn,http://history.archives.mbl.edu/concepts/person/b6f1ee78-a0e3-4b0e-b93a-d11a4061bbf7,F L,,1888,
Clapp,http://history.archives.mbl.edu/concepts/person/14b903c2-a3d2-4100-96cd-ed75976d0edb,Cornelia Maria,,1888,
O'Grady,http://history.archives.mbl.edu/concepts/person/8694cb23-e2f3-4cd6-ac1d-6121a4c90ef9,Marcella I,,1888,
Harris,http://history.archives.mbl.edu/concepts/person/0457a285-70ed-4328-a093-c697fb7090eb,Helen Torrey,,1888,
Mulford,http://history.archives.mbl.edu/concepts/person/847548c9-180b-4660-ab37-275a08d10657,Isabel,,1888,
Ayers,http://history.archives.mbl.edu/concepts/person/a159d7dc-1607-4e06-b2a2-37d2f127cd8d,Howard,,1889,
Farlow,http://history.archives.mbl.edu/concepts/person/10002695-a3de-48b1-b8a4-93e0c34ee9b6,W G,,1889,
Gardiner,http://history.archives.mbl.edu/concepts/person/eb8d07c9-3122-484d-b5ac-fda0ab34176a,Edward G,,1889,
Humphrey,http://history.archives.mbl.edu/concepts/person/d530d06f-baec-4b82-9589-47ba623706be,J Ellis,,1889,
Kingsley,http://history.archives.mbl.edu/concepts/person/025a6982-f777-4956-b170-5d6c4cc28756,J S,,1889,
Mark,http://history.archives.mbl.edu/concepts/person/37c2161e-a4f1-4ced-a4e0-d3d3fa11f3c5,E L,,1889,
Minot,http://history.archives.mbl.edu/concepts/person/2c34316f-23b3-4465-ae71-773579d445f0,C S,,1889,
Mcmurrich,http://history.archives.mbl.edu/concepts/person/5ce97c45-c126-447c-9dcd-5a0391101a0b,J Playfair,,1889,
Reighard,http://history.archives.mbl.edu/concepts/person/e2efed2b-14e5-4132-a0aa-a820f4fd592f,Jacob,,1889,
Sharp,http://history.archives.mbl.edu/concepts/person/9be09681-a704-4d0a-8f87-b47f12e855cc,B,,1889,
Wheeler,http://history.archives.mbl.edu/concepts/person/5430b4cd-1c67-4a74-a375-47a485a8be90,William M,,1889,
Whitman,http://history.archives.mbl.edu/concepts/person/b0a28d5f-d6c9-4f1a-814a-c3e13d190f1b,Charles O,,1889,
Wilson,http://history.archives.mbl.edu/concepts/person/4d3552f8-ee1e-49eb-89b8-78229cd30b02,Edmund B,,1889,
Wilson,http://history.archives.mbl.edu/concepts/person/953bafd0-ddbe-40d4-b61a-5ad5997544aa,J M,,1889,
Bumpus,http://history.archives.mbl.edu/concepts/person/ad636c54-11b9-4deb-910c-61084866ce69,Hermon C,,1889,
Clapp,http://history.archives.mbl.edu/concepts/person/14b903c2-a3d2-4100-96cd-ed75976d0edb,Cornelia Maria,,1889,
O'Grady,http://history.archives.mbl.edu/concepts/person/8694cb23-e2f3-4cd6-ac1d-6121a4c90ef9,Marcella I,,1889,
Platt,http://history.archives.mbl.edu/concepts/person/c4362850-ec9a-41d2-8ef2-e0bb9bf0d82e,Julia B,,1889,
Randolph,http://history.archives.mbl.edu/concepts/person/7b0d630e-6ec9-42a7-b04f-242db5443223,Harriet,,1889,
Ayers,http://history.archives.mbl.edu/concepts/person/a159d7dc-1607-4e06-b2a2-37d2f127cd8d,Howard,,1890,
Bumpus,http://history.archives.mbl.edu/concepts/person/640bb01a-bd96-4fea-934e-7354ad2f6418,Herman C,,1890,
Donaldson,http://history.archives.mbl.edu/concepts/person/13eb79e6-90b5-4f97-a7d9-75f6658e8e7b,Henry Herbert,,1890,
Kingsley,http://history.archives.mbl.edu/concepts/person/025a6982-f777-4956-b170-5d6c4cc28756,J S,,1890,
Morgan,http://history.archives.mbl.edu/concepts/person/ac5553c1-b6a6-41cd-bb44-a08ababd7180,Thomas Hunt,,1890,
Rankin,http://history.archives.mbl.edu/concepts/person/25dd2937-a47d-4972-a5a1-839c73cae92c,Walter M,,1890,
Wilson,http://history.archives.mbl.edu/concepts/person/4d3552f8-ee1e-49eb-89b8-78229cd30b02,Edmund B,,1890,
Watase,http://history.archives.mbl.edu/concepts/person/46ccbd51-7dc1-420a-928b-c32d1e205174,Sho,,1890,
Mcmurrich,http://history.archives.mbl.edu/concepts/person/5ce97c45-c126-447c-9dcd-5a0391101a0b,J Playfair,,1890,
Whitman,http://history.archives.mbl.edu/concepts/person/b0a28d5f-d6c9-4f1a-814a-c3e13d190f1b,Charles O,,1890,
Setchell,http://history.archives.mbl.edu/concepts/person/dbe9dab2-83ae-480d-9adf-b8b3c1805483,William Albert,,1890,
Gardiner,http://history.archives.mbl.edu/concepts/person/eb8d07c9-3122-484d-b5ac-fda0ab34176a,Edward G,,1890,
Eigenmann,http://history.archives.mbl.edu/concepts/person/1b7a144e-b9f1-42a1-8d81-82cc20153129,C H,,1890,
Clapp,http://history.archives.mbl.edu/concepts/person/69396323-2d3b-4964-9b85-c5da20adf67c,Cornella M,,1890,
Chaney,http://history.archives.mbl.edu/concepts/person/53138ff5-88ac-4b5e-aca8-2ef0b7c27c2f,L W Jr,,1890,
Mcfarland,http://history.archives.mbl.edu/concepts/person/745bac86-1d64-43a0-bd0b-26ba746613bc,F M,,1890,
Morrill,http://history.archives.mbl.edu/concepts/person/317dc7d7-2823-4093-a6ca-b21f9f369c13,Albro D,,1890,
O'Grady,http://history.archives.mbl.edu/concepts/person/8694cb23-e2f3-4cd6-ac1d-6121a4c90ef9,Marcella I,,1890,
Platt,http://history.archives.mbl.edu/concepts/person/c4362850-ec9a-41d2-8ef2-e0bb9bf0d82e,Julia B,,1890,
Randolph,http://history.archives.mbl.edu/concepts/person/7b0d630e-6ec9-42a7-b04f-242db5443223,Harriet,,1890,
Bumpus,http://history.archives.mbl.edu/concepts/person/ad636c54-11b9-4deb-910c-61084866ce69,Hermon C,,1891,
Foulke,http://history.archives.mbl.edu/concepts/person/d2d9a3c3-d705-4f18-aed5-28a69a79bfd5,S Gwendolen,,1891,
Gardiner,http://history.archives.mbl.edu/concepts/person/eb8d07c9-3122-484d-b5ac-fda0ab34176a,Edward G,,1891,
Johnson,http://history.archives.mbl.edu/concepts/person/a416f224-3f7c-4771-801a-1c394303bd47,Herbert P,,1891,
Jordan,http://history.archives.mbl.edu/concepts/person/c6037f04-fed1-45ec-9c12-554760a292ad,Edwin O,,1891,
Keller,http://history.archives.mbl.edu/concepts/person/ea9deaa1-57fb-40eb-b951-5860201eb827,Ida,,1891,
Mcmurrich,http://history.archives.mbl.edu/concepts/person/5ce97c45-c126-447c-9dcd-5a0391101a0b,J Playfair,,1891,
Morgan,http://history.archives.mbl.edu/concepts/person/ac5553c1-b6a6-41cd-bb44-a08ababd7180,Thomas Hunt,,1891,
Rankin,http://history.archives.mbl.edu/concepts/person/25dd2937-a47d-4972-a5a1-839c73cae92c,Walter M,,1891,
Setchell,http://history.archives.mbl.edu/concepts/person/dbe9dab2-83ae-480d-9adf-b8b3c1805483,William Albert,,1891,
Watase,http://history.archives.mbl.edu/concepts/person/46ccbd51-7dc1-420a-928b-c32d1e205174,Sho,,1891,
Wheeler,http://history.archives.mbl.edu/concepts/person/701c03d2-4793-4cd1-8076-155508cd6bed,William Morton,,1891,
Whitman,http://history.archives.mbl.edu/concepts/person/b0a28d5f-d6c9-4f1a-814a-c3e13d190f1b,Charles O,,1891,
Wilson,http://history.archives.mbl.edu/concepts/person/4d3552f8-ee1e-49eb-89b8-78229cd30b02,Edmund B,,1891,
Bristol,http://history.archives.mbl.edu/concepts/person/2d63ab33-5593-454e-881c-56dff5373e7e,Charles L,,1891,
Buntin,http://history.archives.mbl.edu/concepts/person/38670fb7-f559-441e-9d29-0cf842f896a9,Martha,,1891,
Clapp,http://history.archives.mbl.edu/concepts/person/14b903c2-a3d2-4100-96cd-ed75976d0edb,Cornelia Maria,,1891,
Lillie,http://history.archives.mbl.edu/concepts/person/6b5bb790-9c5b-4b71-8809-3a4cdfeb5b75,Frank R,,1891,
Mead,http://history.archives.mbl.edu/concepts/person/fc56e2db-95c7-4408-9a24-c102792116c8,Albert D,,1891,
Morrill,http://history.archives.mbl.edu/concepts/person/317dc7d7-2823-4093-a6ca-b21f9f369c13,Albro D,,1891,
Porter,http://history.archives.mbl.edu/concepts/person/63b67f3c-8183-4baf-9dce-8f488634b414,James F,,1891,
Schively,http://history.archives.mbl.edu/concepts/person/61885edb-6a22-4642-9926-43eacc3f77f2,Mary A,,1891,
Treadwell,http://history.archives.mbl.edu/concepts/person/5f8616a2-71a0-4b75-9402-339fe40145bc,Aaron Louis,,1891,
Ayers,http://history.archives.mbl.edu/concepts/person/a159d7dc-1607-4e06-b2a2-37d2f127cd8d,Howard,,1892,
Brannon,http://history.archives.mbl.edu/concepts/person/418f275d-5090-4d91-9ef3-c65a5e9b4379,Melvin A,,1892,
Bristol,http://history.archives.mbl.edu/concepts/person/2d63ab33-5593-454e-881c-56dff5373e7e,Charles L,,1892,
Bumpus,http://history.archives.mbl.edu/concepts/person/ad636c54-11b9-4deb-910c-61084866ce69,Hermon C,,1892,
Clapp,http://history.archives.mbl.edu/concepts/person/14b903c2-a3d2-4100-96cd-ed75976d0edb,Cornelia Maria,,1892,
Conklin,http://history.archives.mbl.edu/concepts/person/9a3e677e-7b22-4650-8a96-c0dc60d1e4a8,Edwin Grant,,1892,
Dodge,http://history.archives.mbl.edu/concepts/person/c26acadb-8b7e-4fad-a152-8e6a39da78eb,Charles Wright,,1892,
