Course Name,Role,Last Name,First Name,Affiliation,Location,Position at Affiliation,Notes,,
Biology of Parasitism,Course Director,Goldberg,Daniel,Washington University,,,June 11-July 31,,
Biology of Parasitism,Course Director,Striepen,Boris,University of Georgia,,,,,
Biology of Parasitism,Faculty,Barillas-Mury,Carolina,National Institutes of Health,,,,,
Biology of Parasitism,Faculty,Belkaid,Yasmine,National Institutes of Health,,,,,
Biology of Parasitism,Faculty,Deitsch,Kirk,Weill Cornell Medical College,,,,,
Biology of Parasitism,Faculty,Field,Mark,University of Cambridge,,,,,
Biology of Parasitism,Faculty,MacDonald,Andrew,University of Edinburgh,,,,,
Biology of Parasitism,Faculty,Valenzuela,Jesus,NIH/ National Institute of Allergy and Infectious Diseases,,,,,
Biology of Parasitism,Faculty,Ward,Gary,University of Vermont,,,,,
Biology of Parasitism,Lecturer,Allen,Judith,University of Edinburgh,,,,,
Biology of Parasitism,Lecturer,Boothroyd,John,Stanford University,,,,,
Biology of Parasitism,Lecturer,Bruchhaus,Iris,Bernhard Nocht Institute for Tropical Medicine,,,,,
Biology of Parasitism,Lecturer,Burleigh,Barbara,Harvard School of Public Health,,,,,
Biology of Parasitism,Lecturer,Carrington,Mark,University of Cambridge,,,,,
Biology of Parasitism,Lecturer,Daily,Johanna,Albert Einstein College of Medicine,,,,,
Biology of Parasitism,Lecturer,Engwerda,Christian,Queensland Institute of Medical Research,,,,,
Biology of Parasitism,Lecturer,Ferdig,Michael,University of Notre Dame,,,,,
Biology of Parasitism,Lecturer,Ferguson,Michael,University of Dundee,,,,,
Biology of Parasitism,Lecturer,Frischknecht,Friedrich,University of Heidelberg Medical School,,,,,
Biology of Parasitism,Lecturer,Grencis,Richard,University of Manchester,,,,,
Biology of Parasitism,Lecturer,Hu,Ke,Indiana University,,,,,
Biology of Parasitism,Lecturer,Jacobs-Lorena,Marcelo,Johns Hopkins School of Public Health,,,,,
Biology of Parasitism,Lecturer,Jenkins,Marc,University of Minnesota,,,,,
Biology of Parasitism,Lecturer,Johnson,Patricia,"University of California, Los Angeles",,,,,
Biology of Parasitism,Lecturer,Kamhawi,Shaden,National Institutes of Health,,,,,
Biology of Parasitism,Lecturer,Matuschewski,Kai,Max Planck Institute for Infection Biology,,,,,
Biology of Parasitism,Lecturer,McKerrow,James,"University of California, San Francisco",,,,,
Biology of Parasitism,Lecturer,Michaeli,Shulamit,Bar-Ilan University,,,,,
Biology of Parasitism,Lecturer,Robey,Ellen,"University of California, Berkeley",,,,,
Biology of Parasitism,Lecturer,Roditi,Isabel,University of Bern,,,,,
Biology of Parasitism,Lecturer,Sacks,David,NIH/ National Institute of Allergy and Infectious Diseases,,,,,
Biology of Parasitism,Lecturer,Samuelson,John,Boston University,,,,,
Biology of Parasitism,Lecturer,Scott,Phillip,University of Pennsylvania,,,,,
Biology of Parasitism,Lecturer,Sher,Franklin,NIH/ National Institute of Allergy and Infectious Diseases,,,,,
Biology of Parasitism,Lecturer,Sinden,Robert,Imperial College London,,,,,
Biology of Parasitism,Lecturer,Sinnis,Photini,New York University School of Medicine,,,,,
Biology of Parasitism,Lecturer,Tarleton,Rick,University of Georgia,,,,,
Biology of Parasitism,Lecturer,Wikel,Stephen,University of Texas Medical Branch,,,,,
