Role,Last Name,First Name,Affiliation,Location,
Director,Goldman, Robert, Northwestern University,,
Investigator,Akkin, Taner, University of Minnesota,,
Investigator,Andersen, Bruce, Idaho Neurologic Institute,,
Investigator,Armstrong, Peter, University of California, Davis,
Investigator,Augustine, George, Korea Institute of Science and Technology, South Korea,
Investigator,Baker, Robert, New York University Langone Medical Center,,
Investigator,Bennett, Michael, Albert Einstein College of Medicine,,
Investigator,Bettencourt-Dias, Monica, Instituto Gulbenkian de Ciencia, Portugal,
Investigator,Bloom, Ona, The Feinstein Institute for Medical Research,,
Investigator,Bodznick, David, Wesleyan University,,
Investigator,Brady, Scott, University of Illinois, Chicago,
Investigator,Burbach, Johannes, Rudolf Magnus Institute of Neuroscience, The Netherlands,
Investigator,Burgess, David, Boston College,,
Investigator,Buxbaum, Joseph, Mount Sinai School of Medicine,,
Investigator,Casey, Elena, Georgetown University,,
Investigator,Chang, Fred, Columbia University,,
Investigator,Chapman, Michael, University of Massachusetts, Amherst,
Investigator,Chiao, Chuan-Chin, National Tsing Hua University, Taiwan,
Investigator,Clay, John, National Institutes of Health,,
Investigator,Colin, Sean, Roger Williams University,,
Investigator,Costello, John, Providence College,,
Investigator,Crawford, Karen, St. Maryís College of Maryland,,
Investigator,Crook, Robyn, University of Texas, Houston,
Investigator,DíUrso, Gennaro, University of Miami,,
Investigator,David-Adekanmbi, Joan, University of Ilorin, Nigeria,
Investigator,Fay, Richard, Loyola University,,
Investigator,Field, Christine, Harvard Medical School,,
Investigator,Finkel, Omri, Hebrew University, Israel,
Investigator,Fishman, Harvey, University of Texas Medical School, Houston,
Investigator,Forlano, Paul, City University of New York,,
Investigator,Fremont-Carli, Rachel, Albert Einstein College of Medicine,,
Investigator,Gadsby, David, The Rockefeller University,,
Investigator,Galbraith, Catherine, National Institutes of Health,,
Investigator,Galbraith, James, National Institutes of Health,,
Investigator,Ghochani, Mariam, National Institutes of Health,,
Investigator,Gillis, J. Andrew, Dalhousie University, Canada,
Investigator,Gladfelter, Amy, Dartmouth College,,
Investigator,Goeritz, Marie-Luise, Brandeis University,,
Investigator,Goldman, Robert, Northwestern University Medical School,,
Investigator,Gomez, Maria, Boston University,,
Investigator,Goshima, Gohta, Nagoya University, Japan,
Investigator,Gould, Robert, HÙpital de la PitiÈ-SalpÍtriËre, France,
Investigator,Grainger, Robert, University of Virginia,,
Investigator,Grant, Philip, National Institutes of Health,,
Investigator,Green, William, University of Chicago,,
Investigator,Gross, Jeffrey, University of Texas, Austin,
Investigator,Grove, Charlotte, New York University,,
Investigator,Gundersen, Gregg, Columbia University,,
Investigator,Hadjisolomou, Stavros, Brooklyn College of the City University of New York,,
Investigator,Hardwick, J. Marie, Johns Hopkins University,,
Investigator,Haspel, Gal, National Institutes of Health,,
Investigator,Hershko, Avram, Technion-Israel Institute of Technology, Israel,
Investigator,Hill, Susan, Michigan State University,,
Investigator,Hines, Michael, Yale University,,
Investigator,Holmgren, Miguel, National Institutes of Health,,
Investigator,Hunt, David, Albert Einstein College of Medicine,,
Investigator,Iglesias, Teresa, University of California, Davis,
Investigator,Janson, Marcel, Wageningen University, The Netherlands,
Investigator,Jeffery, William, University of Maryland,,
Investigator,Jonas, Elizabeth, Yale University,,
Investigator,Kaczmarek, Leonard, Yale University,,
Investigator,Kaupp, U. Benjamin, Center for Advanced European Studies & Research, Germany,
Investigator,Khan, Shahid, Molecular Biology Consortium, Chicago,
Investigator,Kramer, Richard, University of California, Berkeley,
Investigator,Landowne, David, University of Miami,,
Investigator,Larson, Roy, Faculdade de Medicina de Ribeir„o Preto, University of Sao Paulo,
Investigator,Laskin, Jeffrey, University of Medicine and Dentistry of New Jersey-Robert Wood Johnson Medical School,,
Investigator,Laufer, Hans, University of Connecticut,, Portugal
Investigator,Lenart, Peter, European Molecular Biology Laboratory, Germany,
Investigator,Levinson, Simon, University of Colorado Medical School,,
Investigator,Lisman, John, Brandeis University,,
Investigator,Llin·s, Rodolfo, New York University School of Medicine,,
Investigator,Lowe, Christopher, Stanford University,,
Investigator,Lytton, William, State University of New York, Downstate,
Investigator,Mabuchi, Issei, Gakushuin University, Japan,
Investigator,Malchow, Robert, University of Illinois, Chicago,
Investigator,Mead Vetter, Kristina, Denison University,,
Investigator,Mensinger, Allen, University of Minnesota,,
Investigator,Miller, Andrew, Hong Kong University of Science and Technology, Hong Kong,
Investigator,Misgeld, Thomas, Technische Universitat Munchen, Germany,
Investigator,Mitchison, Timothy, Harvard Medical School,,
Investigator,Moreira, Jorge, University of Sao Paolo, Brazil,
