key,value
publich schools,public schools
lake forest university,wake forest university
north carolina college or women,north carolina college for women
university of texas san antonio,university of texas at san antonio
freie university berlin,freie universitat berlin
uniersity of colorado health science center,university of colorado health sciences center
universityof toronto,university of toronto
university of nebraska college of medince,university of nebraska college of medicine
statione zoologica anton dohrn,stazione zoologica anton dohrn
univerisity of vermont,university of vermont
pontifica universidad catolica de chile,pontificia universidad catolica de chile
federal university of rio de janiero,federal university of rio de janeiro
university of illinois chicago,university of illinois at chicago
childrens hopsital of philadelphia,childrens hospital of philadelphia
weizman institute,weizmann institute
columbia university medical centre,columbia university medical center
university of maryland at college park,university of maryland college park
college of women western reserve university,college for women western reserve university
university of north carolina wilmington,university of north carolina at wilmington
university of texas southwest medical school,university of texas southwestern medical school
systematics ecology program marine biological laboratory,systematics ecology program marine biologyical laboratory
universiy of geneva,university of geneva
scripps institute of oceangraphy,scripps institute of oceanography
institute of cancer research,institute for cancer research
beth israel  deaconess medical center,beth israel deaconess medical center
west viriginia university,west virginia university
massachusettes state college,massachusetts state college
northeastern ohio university college of medicine,northeastern ohio universities college of medicine
mount hoiyoke college,mount holyoke college
univerisity of southern california,university of southern california
procter and gamble,proctor and gamble
quenns university,queens university
yale universty school of medicine,yale university school of medicine
u s fish and wildlife service,us fish and wildlife service
flordia institute of technology,georgia institute of technology
layfayette college,lafayette college
sydney farber cancer research institute,sidney farber cancer research institute
scola normale superiore,scuola normale superiore
university hospitals,university hospital
technion  israel institute of technology,technion israel institute of technology
saint louis university medical school,st louis university medical school
university of iowa hospital,university of iowa hospitals
centre national de recherche scientifique,centre national de la recherche scientifique
carlton college,carleton college
harbor ucla medical lcenter,harbor ucla medical center
simon fraser univeristy,simon fraser university
johns hopkins medical institution,johns hopkins medical institutions
university of colorado at boulder,university of colorado boulder
georg august university,georg august universitat
university of bologna,university of cologne
"university of california
san diego",university of california san diego
american phychological association,american psychological association
ltniversity of missouri,university of missouri
university of witswatersrand,university of witwatersrand
university of missouri  kansas city,university of missouri kansas city
universitat konstaz,universitat konstanz
university of toronto mississauga,university of toronto at mississauga
max planck institut fur biophysikalische chemie,max plank institut fur biophysikalische chemie
universit at albany,university at albany
rokefeller institute for medical research,rockefeller institute for medical research
university of minnesota twin cities,university of minnesota  twin cities
scripps institution of oceanography university of california san diego,scripps institute of oceanography university of california san diego
"max planck institute 
for marine microbiology",max planck institute for marine microbiology
state teachers college montclair,state teachers college at montclair
johns hoplins university,johns hopkins university
university of south dakota,university of north dakota
washinton square college new york university,washington square college new york university
university of california at berkeley,university of california berkeley
university of milano,university of milan
universidad complutense madrid,universidad complutense de madrid
internation laboratory for research on animal diseases,international laboratory for research on animal diseases
national institutes of health niddk,national institutes of health ninds
university of southern missippi,university of southern mississippi
"max planck institute
 for terrestrial microbiology",max planck institute for terrestrial microbiology
international school for advanced study,international school for advanced studies
virginia polytechnical institute,virginia polytechnic institute
university of cincinna,university of cincinnati
hhmi janelia farms research campus,hhmi janelia farm research campus
research commission of national dental association,research commission of natural dental association
universite paris descartes,luniversite paris descartes
universidade federal do rio de janiero,universidade federal do rio de janeiro
salk insitute,salk institute
united states departent of health and human services,united states department of health and human services
boston univeristy medical school,boston university medical school
center for disease control,centers for disease control
lincoln university,lincoln unversity
university california berkeley,university of california berkeley
zoologisches institute,zoologisches institut
biozentrum of university of basel,biozentrum university of basel
national center for biological sciences,national centre for biological sciences
rollins college,hollins college
institut pasteur de lille,institut pasteur de lillie
univeristy of massachusetts,university of massachusetts
university regensburg,universitat regensburg
max planck institute fur entwicklungsbiologie,max planck institut fur entwicklungsbiologie
university of albert,university of alberta
national institute for medical reasearch,national institute for medical research
"university of california 
santa barbara",university of california santa barbara
randalph macon college,randolph macon college
international school of advanced studies,international school for advanced studies
wasington university,washington university
state university of new york stonybrook,state university of new york stony brook
university hospital of cleveland,university hospitals of cleveland
